province,standard_projects,standard_inheritors,standard_raw_IPR,national_standard_IPR,total_gap_vs_national,composition_contribution,within_category_contribution,additivity_residual,composition_adjusted_IPR,small_cells_lt10_projects,degenerate_contribution_flag,province_name_english,region,raw_IPR,raw_rank,adjusted_rank
黑龙江省,617,613,0.993517017828201,1.073860634874898,-0.08034361704669701,-0.03278597633622825,-0.047557640710468786,-2.7755575615628914e-17,1.073239230275901,1,False,Heilongjiang,Northeast,0.993517017828201,20,16
青海省,565,570,1.008849557522124,1.073860634874898,-0.06501107735277412,-0.053597929061378176,-0.011413148291395895,4.163336342344337e-17,1.0561817604963573,0,False,Qinghai,West,1.008849557522124,19,17
重庆市,755,787,1.042384105960265,1.073860634874898,-0.03147652891463304,-0.004072234274558065,-0.027404294640075044,-6.938893903907228e-17,1.0481202505540261,0,False,Chongqing,West,1.042384105960265,16,18
北京市,299,280,0.9364548494983278,1.073860634874898,-0.13740578537657022,-0.03815696709144581,-0.09924881828512438,2.7755575615628914e-17,1.004266883451616,0,False,Beijing,East,0.9364548494983278,23,19
湖南省,709,699,0.9858956276445698,1.073860634874898,-0.08796500723032818,0.0026632023555602496,-0.09062820958588838,5.551115123125783e-17,0.997796426922276,0,False,Hunan,Central,0.9858956276445698,21,20
河北省,974,1052,1.0800821355236139,1.073860634874898,0.00622150064871585,0.09796531730942576,-0.09174381666070971,1.942890293094024e-16,0.9923872772193583,0,True,Hebei,East,1.080082135523614,14,21
安徽省,778,792,1.0179948586118253,1.073860634874898,-0.055865776263072764,0.06704020374609007,-0.12290598000916288,-4.163336342344337e-17,0.9735352631361267,0,False,Anhui,Central,1.0179948586118253,17,22
四川省,1083,1046,0.9658356417359187,1.073860634874898,-0.10802499313897929,0.004713543306121661,-0.11273853644510087,6.938893903907228e-17,0.9677792525047747,0,False,Sichuan,West,0.9658356417359188,22,23
天津市,383,282,0.7362924281984334,1.073860634874898,-0.3375682066764646,-0.01918605538539437,-0.31838215129107017,5.551115123125783e-17,0.9347593737807761,0,False,Tianjin,East,0.7362924281984334,27,24
陕西省,685,593,0.8656934306569343,1.073860634874898,-0.20816720421796375,-0.02419846284654346,-0.18396874137142022,8.326672684688674e-17,0.9066945727999217,0,False,Shaanxi,West,0.8656934306569343,24,25
贵州省,1020,712,0.6980392156862745,1.073860634874898,-0.37582141918862355,-0.027934274253002336,-0.34788714493562106,1.6653345369377348e-16,0.825698877220949,0,False,Guizhou,West,0.6980392156862745,29,26
山东省,985,831,0.8436548223350254,1.073860634874898,-0.2302058125398726,0.039799125225299097,-0.2700049377651717,0.0,0.812796140938901,0,False,Shandong,East,0.8436548223350254,25,27
辽宁省,294,220,0.7482993197278912,1.073860634874898,-0.3255613151470068,0.10202135160095377,-0.42758266674796064,-5.551115123125783e-17,0.7455918945515994,1,False,Liaoning,Northeast,0.7482993197278912,26,28
江苏省,1166,820,0.7032590051457976,1.073860634874898,-0.3706016297291004,-0.006346205100842467,-0.36425542462825783,1.1102230246251565e-16,0.703663641885024,0,False,Jiangsu,East,0.7032590051457976,28,29
广东省,844,494,0.5853080568720379,1.073860634874898,-0.4885525780028601,-0.039332635660486226,-0.44921994234237383,5.551115123125783e-17,0.5965012695260271,0,False,Guangdong,East,0.5853080568720379,30,30
吉林省,442,215,0.48642533936651583,1.073860634874898,-0.5874352955083821,-0.04282502045589322,-0.544610275052489,-1.1102230246251565e-16,0.5132663090830252,1,False,Jilin,Northeast,0.4864253393665158,31,31
